Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-08-28,879.55,883.0,866.1,871.2,875.20847770027,239263.0,8608.0,209405006.0,50086.0,20.93,16.9,-8.35
2015-08-27,868.3,880.0,857.65,869.55,870.36302104731,338333.0,10403.0,294472532.0,74813.0,22.11,22.35,1.25
2015-08-26,847.9,874.8,841.45,853.45,860.72712395744,398419.0,10840.0,342930040.0,105284.0,26.43,33.35,5.55
2015-08-25,840.0,861.0,824.4,852.9,841.38306250184,680620.0,16540.0,572662140.0,200534.0,29.46,36.6,12.9
2015-08-24,890.0,890.0,819.0,828.95,856.28038585279,915064.0,25268.0,783551355.0,299159.0,32.69,71.0,-61.05
2015-08-21,910.0,911.8,897.35,907.3,905.01189688295,559054.0,19770.0,505950521.0,187345.0,33.51,14.45,-2.7
2015-08-20,959.9,960.0,916.25,918.85,933.15252315769,439271.0,13714.0,409906842.0,124581.0,28.36,43.75,-41.05
2015-08-19,944.9,960.45,939.65,952.7,951.55928090068,299152.0,9049.0,284660862.0,62549.0,20.91,20.8,7.8
2015-08-18,955.2,958.85,942.0,944.35,946.25779113334,262895.0,8646.0,248766442.0,70841.0,26.95,16.85,-10.85
2015-08-17,967.0,967.05,947.3,950.05,952.46076409597,278342.0,9709.0,265109834.0,77176.0,27.73,19.75,-16.95
2015-08-14,938.6,971.95,934.9,967.05,958.1151165975,376123.0,10717.0,360369132.0,99331.0,26.41,37.05,28.45
2015-08-13,948.0,954.1,931.25,934.9,942.97628599644,226828.0,7486.0,213893425.0,50913.0,22.45,22.85,-13.1
2015-08-12,966.35,966.35,940.15,943.05,952.95985918012,391422.0,9943.0,373009454.0,72306.0,18.47,26.2,-23.3
2015-08-11,976.0,976.0,958.55,966.35,966.67159957686,269415.0,8537.0,260435829.0,34245.0,12.71,17.45,-9.65
2015-08-10,985.0,989.8,966.25,970.1,977.98040660829,192667.0,6577.0,188424551.0,56124.0,29.13,23.55,-14.9
2015-08-07,981.0,994.0,975.3,984.25,987.00849170238,249891.0,6606.0,246644539.0,70534.0,28.23,18.7,3.25
